n, iterative-time, recursive-time
1109,4125,4125
1110,4125,4125
1111,4125,4125
1112,4041,3917
1113,3958,3958
1114,3958,4000
1115,4042,3959
1116,4333,4125
1117,4125,4167
1118,4167,4125
1119,4375,4125
1120,11625,4292
1121,4084,4042
1122,4375,4125
1123,4167,4166
1124,4209,4167
1125,4208,4167
1126,4459,4042
1127,4042,4042
1128,4084,4042
1129,4000,4000
1130,4083,4042
1131,4041,4042
1132,4083,4083
1133,4084,4084
1134,4083,4083
1135,4042,4042
1136,4083,4042
1137,4083,4000
1138,4042,4083
1139,4042,4083
1140,4167,4084
1141,4083,4125
1142,4083,4083
1143,4083,4083
1144,4083,4083
1145,4083,4083
1146,4084,4083
1147,4125,4083
1148,4084,4083
1149,4083,4125
1150,4083,4125
1151,4125,4167
1152,4083,4125
1153,4125,4125
1154,4084,4125
1155,4125,4125
1156,4125,4125
1157,4125,4166
1158,4125,4125
1159,4166,4125
1160,4125,4167
1161,4125,4167
1162,4125,4208
1163,4166,4167
1164,4125,4125
1165,4208,4167
1166,4167,4125
1167,4166,4167
1168,4208,4167
1169,4167,4166
1170,4167,4208
1171,4208,4166
1172,4208,4166
1173,4166,4167
1174,4209,4167
1175,4208,4208
1176,4209,4209
1177,4208,4208
1178,4208,4208
1179,4208,4209
1180,4250,4208
1181,4208,4208
1182,4209,4209
1183,4208,4208
1184,4250,4208
1185,4209,4250
1186,4250,4250
1187,4209,4208
1188,4250,4250
1189,4250,4250
1190,4583,4375
1191,4375,4375
1192,4417,4458
1193,4417,4417
1194,4416,4416
1195,4375,4417
1196,4417,4459
1197,4417,4417
1198,4417,4458
1199,4458,4417
1200,4458,4416
1201,4459,4459
1202,4458,4458
1203,4458,4416
1204,4459,4459
1205,4458,4458
1206,4458,4500
1207,4500,4416
1208,4500,4458
1209,4500,4458
1210,4542,4458
1211,4541,4458
1212,4542,4458
1213,4500,4500
1214,4458,4541
1215,4458,4708
1216,4250,4375
1217,4375,4417
1218,4334,4667
1219,4542,4541
1220,4583,4500
1221,4500,4542
1222,4542,4542
1223,4542,4583
1224,4542,4584
1225,4583,4542
1226,4792,4458
1227,4416,4417
1228,4417,4750
1229,4541,4583
1230,4541,4583
1231,4583,4791
1232,4833,4541
1233,4625,4584
1234,4583,4542
1235,4583,4541
1236,4709,4417
1237,4375,4417
1238,4416,4416
1239,4417,4417
1240,4458,4417
1241,4458,4417
1242,4458,4500
1243,4459,4417
1244,4458,4458
1245,4625,4583
1246,4583,4583
1247,4625,4625
1248,4625,4750
1249,4459,4459
1250,4500,4458
1251,4500,4458
1252,4458,4500
1253,4458,4458
1254,4458,4459
1255,4459,4875
1256,4666,4625
1257,4625,4625
1258,4666,4625
1259,4625,4625
1260,4750,4500
1261,4500,4458
1262,4500,4625
1263,4666,4666
1264,4667,4709
